size_ko,nb_doubles,time_ms
0,0,0.0
1,128,9.682
2,256,7.913
3,384,7.0200000000000005
4,512,8.067
5,640,8.111
6,768,6.916
7,896,8.229000000000001
8,1024,8.213
9,1152,8.078
10,1280,9.046
11,1408,6.581
12,1536,7.772
13,1664,8.388
14,1792,8.302
15,1920,12.481000000000002
16,2048,8.046
17,2176,22.112
18,2304,11.315999999999999
19,2432,11.525
20,2560,9.001999999999999
21,2688,8.753
22,2816,9.144
23,2944,7.3229999999999995
24,3072,10.062
25,3200,9.097
26,3328,7.625
27,3456,8.481
28,3584,7.797
29,3712,8.305
30,3840,8.014999999999999
31,3968,7.1850000000000005
32,4096,7.149
33,4224,9.837
34,4352,7.091
35,4480,7.388
36,4608,6.760999999999999
37,4736,6.446000000000001
38,4864,6.853
39,4992,6.702999999999999
40,5120,6.63
41,5248,6.414000000000001
42,5376,6.476
43,5504,6.452
44,5632,6.6499999999999995
45,5760,6.617999999999999
46,5888,6.518000000000001
47,6016,6.223
48,6144,6.734
49,6272,6.325
50,6400,6.603000000000001
51,6528,6.697
52,6656,6.41
53,6784,6.248
54,6912,6.489
55,7040,6.467
56,7168,6.723
57,7296,6.275
58,7424,6.568
59,7552,6.34
60,7680,6.709
61,7808,6.57
62,7936,6.836
63,8064,6.7219999999999995
64,8192,6.747999999999999
65,8320,6.465
66,8448,6.645
67,8576,6.609
68,8704,6.539
69,8832,6.326
70,8960,6.551
71,9088,6.161
72,9216,6.4270000000000005
73,9344,6.221
74,9472,6.328
75,9600,6.515
76,9728,6.4479999999999995
77,9856,6.53
78,9984,6.316999999999999
79,10112,6.438
80,10240,6.617
81,10368,6.888
82,10496,6.731
83,10624,6.652
84,10752,6.615
85,10880,6.664
86,11008,6.497
87,11136,6.763
88,11264,6.668
89,11392,6.454
90,11520,6.245
91,11648,6.438
92,11776,6.303999999999999
93,11904,6.420999999999999
94,12032,6.3420000000000005
95,12160,6.664
96,12288,6.58
97,12416,6.524
98,12544,6.357
99,12672,6.418
100,12800,6.242
101,12928,6.665
102,13056,6.324
103,13184,6.518000000000001
104,13312,6.453
105,13440,6.585
106,13568,6.75
107,13696,6.5440000000000005
108,13824,6.112
109,13952,6.399
110,14080,6.235
111,14208,6.602
112,14336,6.139
113,14464,6.593
114,14592,6.182
115,14720,6.195
116,14848,6.486
117,14976,6.233
118,15104,6.2509999999999994
119,15232,6.502
120,15360,6.186999999999999
121,15488,6.063
122,15616,6.239
123,15744,6.041
124,15872,6.433999999999999
125,16000,6.1419999999999995
126,16128,6.431
127,16256,6.281
128,16384,6.388999999999999
129,16512,5.917999999999999
130,16640,6.191000000000001
131,16768,6.432
132,16896,6.2509999999999994
133,17024,6.579
134,17152,7.002000000000001
135,17280,7.399
136,17408,7.6499999999999995
137,17536,7.95
